PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref
eirAQ,3k4/1b6/1Pp1p2p/Q2pP3/2Pq4/6P1/P4r1P/2RKR3 w - - 1 32,a5d2 f2d2,399,125,83,503,endgame mate mateIn1 oneMove,https://lichess.org/gjVhGQ11#63,,True,https://lichess.org/training/eirAQ
fyDZz,r3r3/k1Q2pp1/pR5p/1p2P3/5n2/PB3q2/1P3P2/2K1R3 b - - 4 35,f3b7 b6b7,399,100,71,177,mate mateIn1 middlegame oneMove,https://lichess.org/4TuEWrBK/black#70,,True,https://lichess.org/training/fyDZz
SxGY6,8/6k1/1N4p1/2RP3p/5KbP/2P3P1/5r2/8 w - - 3 48,f4g5 f2f5,399,108,86,174,endgame mate mateIn1 oneMove operaMate,https://lichess.org/lzvnUACm#95,,True,https://lichess.org/training/SxGY6
aIPXS,6r1/1p5k/p2p1R2/2pPp2p/4P2P/1P1P3K/1PP4R/6r1 w - - 11 34,f6f5 g1g3,399,90,80,179,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/g8SQsAW5#67,,True,https://lichess.org/training/aIPXS
RqoHa,3rkr2/2R1Q1pp/p4b2/1p1p4/8/8/P4PPP/4R1K1 b - - 0 25,f6e7 e1e7,399,122,79,444,endgame master mate mateIn1 oneMove,https://lichess.org/qFCXjr2E/black#50,,True,https://lichess.org/training/RqoHa
BYZge,r6r/ppq2R1k/1np1p2p/4P2Q/3P4/2P5/PP4PP/4R1K1 b - - 0 22,c7f7 h5f7,400,102,87,234,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/rg5j2EzW/black#44,,True,https://lichess.org/training/BYZge
VQbcV,2r3k1/1bq3pp/4p1r1/p2p4/1p6/P3bPN1/1PPQ2PP/1NKR3R w - - 1 22,d2e3 c7c2,400,115,93,230,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/1pstiXpM#43,,True,https://lichess.org/training/VQbcV
Rylot,2rkr3/pqp2pbp/3R2p1/8/1P5P/2PQ2P1/5P2/1N1R2K1 b - - 0 23,c7d6 d3d6 b7d7 d6d7,400,114,74,155,mate mateIn2 middlegame short,https://lichess.org/WPL58R8c/black#46,,True,https://lichess.org/training/Rylot
W5uRp,8/1R6/1p2r1k1/1Bp3n1/P3rRK1/6P1/7P/8 w - - 15 53,f4e4 e6e4,400,98,76,331,endgame mate mateIn1 oneMove,https://lichess.org/Eso6H2f2#105,,True,https://lichess.org/training/W5uRp
jnbJJ,2r1k2r/1b1p1ppp/2q1p3/p4P2/1p2P1P1/4bQ2/PPP3BP/1NKR1R2 w k - 1 18,f3e3 c6c2,400,103,100,365,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/67fInDRi#35,Sicilian_Defense Sicilian_Defense_Taimanov_Variation,True,https://lichess.org/training/jnbJJ
JYmwP,4rkr1/8/4qR2/p7/1p1Qp3/1P6/PKP5/1N6 b - - 0 37,e6f6 d4f6,400,117,63,512,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/XLtr5FtA/black#74,,True,https://lichess.org/training/JYmwP
9KygJ,4R2Q/4r3/p2pkp2/2p1pq2/2P5/1P6/PK3P2/8 b - - 4 41,e7e8 h8e8,400,114,89,706,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/UuunnPYV/black#82,,True,https://lichess.org/training/9KygJ
tKSnz,8/5pkp/pqp5/1p2P1p1/4Q3/P1P2PpP/1P4K1/8 w - - 0 35,g2g3 b6g1,400,98,100,162,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/00AJJKwT#69,,True,https://lichess.org/training/tKSnz
n5Nyk,1nkr3r/ppp2pp1/1N2p2p/8/1P1Pn3/P1Q1P2q/1B3P2/2R1KR2 b - - 5 23,a7b6 c3c7,402,119,86,204,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/5EkvnLIc/black#46,,True,https://lichess.org/training/n5Nyk
lRZs3,3RQ3/2r1p3/1qpkpb2/3p4/3P4/4PN2/6P1/6K1 b - - 10 42,c7d7 d8d7,402,86,77,134,endgame mate mateIn1 oneMove,https://lichess.org/rtAFZ48M/black#84,,True,https://lichess.org/training/lRZs3
eRrwX,r7/6Bp/p7/1PPq2pk/4p1P1/7P/1Q5K/8 b - - 0 46,h5g6 b2f6,403,95,78,200,endgame mate mateIn1 oneMove,https://lichess.org/WmtTOxtR/black#92,,True,https://lichess.org/training/eRrwX
ghPKu,r5k1/2pn1pPp/2p5/2q1p1PQ/3pP3/pP1P3P/1KPB4/R7 w - - 0 26,b2a2 c5c2,407,101,100,139,endgame mate mateIn1 oneMove,https://lichess.org/ovFD1LkA#51,,True,https://lichess.org/training/ghPKu
L2OZx,8/p2r2p1/6k1/1p4N1/4R1PK/8/P7/2n5 b - - 13 50,c1a2 e4e6,407,86,74,147,endgame master mate mateIn1 oneMove,https://lichess.org/x59fSjTH/black#100,,True,https://lichess.org/training/L2OZx
Ps7bD,5rkr/ppp3p1/2nqp3/3p4/3PnPQP/2N1P3/PPP5/2KR2R1 b - - 0 18,e4c3 g4g7,407,88,100,197,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/kL1XmawA/black#36,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation,True,https://lichess.org/training/Ps7bD
FpVt1,r1r3k1/2q3p1/6p1/p3p3/Q2p3P/1p6/PPP1N3/1NKR4 w - - 0 33,a2b3 c7c2,407,94,72,137,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/5pxOtX5L#65,,True,https://lichess.org/training/FpVt1
ATCSG,5b2/p1k5/1p2p3/5qBB/2P5/1Q6/PP3P2/1bKR4 w - - 1 34,b3e3 f5c2,408,103,94,168,mate mateIn1 middlegame oneMove,https://lichess.org/yJqfsYMq#67,,True,https://lichess.org/training/ATCSG
bqizv,8/8/P3k1p1/4p1P1/5p1P/3r1K2/8/R7 w - - 3 48,f3g4 d3g3,410,86,81,130,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/RbGF8R02#95,,True,https://lichess.org/training/bqizv
0cnjo,2R5/8/2p2k2/3p4/3Pp1PP/4r1K1/8/8 w - - 0 39,g3f4 e3f3,412,110,82,889,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/MOjeWGuv#77,,True,https://lichess.org/training/0cnjo
JVj7b,R7/4nkp1/4p1p1/3p1p2/3P1K2/8/2P5/8 b - - 11 45,f7f6 a8f8,416,99,81,304,endgame mate mateIn1 oneMove,https://lichess.org/pRutiLzU/black#90,,True,https://lichess.org/training/JVj7b
sYFqv,8/7n/2p2b1k/4pP2/4P3/1p5r/6Q1/6K1 b - - 5 43,h3h5 g2g6,416,96,89,427,endgame mate mateIn1 oneMove,https://lichess.org/EnfXpjYl/black#86,,True,https://lichess.org/training/sYFqv
jRfwj,8/pp5p/3r4/2p1k1p1/4p3/P1P1K2P/1PR2PP1/8 w - - 2 35,c2e2 d6d3,416,93,73,147,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/yRDsuHa2#69,,True,https://lichess.org/training/jRfwj
XGTga,8/2r1kp2/3N3p/r1PKPBpP/3R2P1/8/8/8 w - - 3 56,f5e4 a5c5,417,96,65,99,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/NUW5vwZP#111,,True,https://lichess.org/training/XGTga
FsyEk,3rr3/2Q1kp1N/4p1p1/p7/P2R4/5q2/KP6/8 b - - 2 44,d8d7 d4d7,417,92,100,252,endgame mate mateIn1 oneMove,https://lichess.org/1k9aqBbZ/black#88,,True,https://lichess.org/training/FsyEk
f7bR6,8/2r2p1B/2p2pRk/3p3p/p2q4/5PP1/2Q2PK1/8 b - - 3 38,f7g6 c2g6,418,105,93,484,endgame master mate mateIn1 oneMove,https://lichess.org/h4Z0IXjY/black#76,,True,https://lichess.org/training/f7bR6
iXxPE,4R3/1pp2rp1/p2p2kp/3P1p2/1P3P2/P3K3/2P3PP/8 b - - 7 25,g6f6 e8e6,418,99,88,186,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/65MuDO3o/black#50,,True,https://lichess.org/training/iXxPE
O1D9o,5k2/3R3p/p3P1p1/r3K3/5P2/6P1/7P/8 w - - 3 43,e5f6 a5f5,419,110,90,273,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/nnZxBRqz#85,,True,https://lichess.org/training/O1D9o
osJYp,2r1k2r/2q1bpp1/p3p1p1/1p1pP1P1/7P/P3BPn1/1PP5/1NKRQ2R w k - 3 21,e1g3 c7c2,420,88,85,563,master mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/6FlmyV9Q#41,,True,https://lichess.org/training/osJYp
gsiLi,1k6/8/1p1pN2p/3Pp3/4q3/7P/1P2BKr1/3R1R2 w - - 2 31,f2e1 e4e2,423,93,100,797,endgame mate mateIn1 oneMove,https://lichess.org/lDAVpU95#61,,True,https://lichess.org/training/gsiLi
rmY9M,8/pp6/2p1p3/3nP1k1/3P2Pn/1P4K1/P7/7R b - - 8 38,h4g6 h1h5,424,93,100,360,endgame mate mateIn1 oneMove,https://lichess.org/e1tGw9iQ/black#76,,True,https://lichess.org/training/rmY9M
O95Og,r6r/p3pp1k/2pp2pP/q5P1/2b1PQ2/2NR4/PPP5/2K4R b - - 2 23,c4d3 f4f7,424,110,79,218,mate mateIn1 middlegame oneMove,https://lichess.org/CiNc0eHY/black#46,,True,https://lichess.org/training/O95Og
eN0fr,r1bq3r/ppp1npk1/3p2pP/3P4/4PQ2/2N2p2/PPP5/2KR1B1R b - - 0 17,g7h7 f4f7,426,101,90,257,mate mateIn1 middlegame oneMove,https://lichess.org/HznCFXWt/black#34,Pirc_Defense Pirc_Defense_Other_variations,True,https://lichess.org/training/eN0fr
rYsGW,1r2k2r/1p3p2/p2p4/3npqP1/2R5/BP1P2Pp/P2QPP1K/7R w k - 10 25,a3d6 f5f2,426,106,90,906,mate mateIn1 middlegame oneMove,https://lichess.org/d0iFVBdf#49,,True,https://lichess.org/training/rYsGW
INwSh,8/5p1p/4bp2/1R6/p1N1pkP1/7P/r4PK1/8 b - - 1 45,e6c4 b5f5,427,93,100,270,endgame master mate mateIn1 oneMove,https://lichess.org/eKX5I5vf/black#90,,True,https://lichess.org/training/INwSh
UAOS4,3r4/2p4p/kp2R3/nN6/K2r2B1/P4P1P/6P1/R7 w - - 2 39,b5d4 d8d4,427,116,80,315,endgame mate mateIn1 oneMove,https://lichess.org/GQKM4Q0x#77,,True,https://lichess.org/training/UAOS4
uFWuR,4rknr/pp3p1p/3p2bp/3B4/5Q1P/8/PPP5/5K2 b - - 0 22,g6c2 f4f7,428,109,95,510,endgame mate mateIn1 oneMove,https://lichess.org/fa2rDLnh/black#44,,True,https://lichess.org/training/uFWuR
nTEfL,5rk1/p5b1/1p2P2p/2p3p1/2P1p3/1P2B2R/P2Qnq1K/7R w - - 0 35,e3f2 f8f2,428,101,100,1218,master mate mateIn1 middlegame oneMove,https://lichess.org/0NBJsC2l#69,,True,https://lichess.org/training/nTEfL
Hd81U,6nr/3q1p1k/r3p1pp/1R1pP3/8/P2P1Q2/3B2PP/R6K b - - 0 29,d7b5 f3f7,429,108,92,258,mate mateIn1 middlegame oneMove,https://lichess.org/2vNru1hv/black#58,,True,https://lichess.org/training/Hd81U
xjg9U,2k5/8/p3NP2/1pqrn3/5B2/P2p4/2r1Q3/1NKR3R w - - 0 41,e2c2 c5c2,429,95,100,296,master mate mateIn1 middlegame oneMove,https://lichess.org/SoYt2hnN#81,,True,https://lichess.org/training/xjg9U
0QsT8,4r2r/RR4pk/7p/2B4P/3b2P1/8/P4PK1/8 b - - 2 46,d4c5 b7g7,430,95,85,82,endgame master mate mateIn1 oneMove,https://lichess.org/oOSZ3yFG/black#92,,True,https://lichess.org/training/0QsT8
7xiaU,8/1q3pkp/8/p7/P4N1P/1P3R2/6KP/8 w - - 3 42,g2h3 b7f3,431,103,88,369,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/vmf073xT#83,,True,https://lichess.org/training/7xiaU
Vtnrc,1R6/r3p2p/6p1/4pkP1/7P/5P2/8/6K1 b - - 4 33,e7e6 b8f8 a7f7 f8f7,432,97,78,149,endgame mate mateIn2 rookEndgame short,https://lichess.org/AmHPJmYG/black#66,,True,https://lichess.org/training/Vtnrc
iEFC6,1r3rk1/5pp1/3p2np/4pP1N/1p2P3/pP1P2QP/P1P2RBK/2q5 b - - 0 26,g6h8 g3g7,432,120,91,301,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/gf7VZ7yw/black#52,,True,https://lichess.org/training/iEFC6
GWI5D,2r1k1nr/p1qp1pbp/1p2p1p1/8/3pPPP1/3P4/PPPBQ2P/1NKR1R2 w k - 1 13,h2h4 c7c2,433,87,100,185,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/P2vUFC0F#25,Sicilian_Defense Sicilian_Defense_Closed,True,https://lichess.org/training/GWI5D
OyUmc,8/4r3/2pk4/1p1p2p1/1P1K3p/2PN1B1P/6P1/8 w - - 0 39,f3g4 e7e4,435,86,100,142,endgame mate mateIn1 oneMove,https://lichess.org/zbMaqa7S#77,,True,https://lichess.org/training/OyUmc
vIhTD,r1b5/pp3kp1/2nbp3/3q1p2/3P3P/1P3NK1/PB1Q1P1P/R4R2 w - - 3 20,g3h3 d5f3,435,108,95,953,hangingPiece master mate mateIn1 middlegame oneMove,https://lichess.org/LK8aszdW#39,,True,https://lichess.org/training/vIhTD
6umab,2r2k2/R3b1pp/1N3p2/1p2p3/1P2PnP1/P1r2K1P/1B3P2/3R4 w - - 2 27,b2c3 c8c3 d1d3 c3d3,436,104,96,273,mate mateIn2 middlegame short,https://lichess.org/a8J1P0vI#53,,True,https://lichess.org/training/6umab
0dVIr,7k/p6p/1p3b2/3N2p1/3p2Pn/PP2rq1K/1B3R1P/3R4 w - - 0 42,f2f3 e3f3,436,87,84,168,master mate mateIn1 middlegame oneMove,https://lichess.org/6jOItAh3#83,,True,https://lichess.org/training/0dVIr
TSVIn,2r1k1nr/2qnbppp/p2pb3/4p1P1/1p2P3/1N2BP2/PPPQB2P/1NKR3R w k - 2 15,d2b4 c7c2,436,98,83,270,mate mateIn1 oneMove opening queensideAttack,https://lichess.org/kchJhJmi#29,Sicilian_Defense Sicilian_Defense_Najdorf_Variation,True,https://lichess.org/training/TSVIn
8kGfd,r2q3r/1bp1npk1/p2pp1pP/1p6/3PPQ2/2N5/PPP1BP2/R3K2R b KQ - 0 18,g7h7 f4f7,438,102,91,667,mate mateIn1 middlegame oneMove,https://lichess.org/5U6tCfuI/black#36,Modern_Defense Modern_Defense_Other_variations,True,https://lichess.org/training/8kGfd
rAOk6,r5k1/pp4pp/1q1p1r2/6n1/1P6/P1PQNpPP/5P1K/3R3R w - - 1 25,e3d5 b6f2,438,108,92,446,mate mateIn1 middlegame oneMove,https://lichess.org/FOvxWvMt#49,,True,https://lichess.org/training/rAOk6
KTXMG,8/4k2R/2p1Bp2/p1b1pP2/8/6r1/PPP1K3/8 b - - 17 35,e7d6 h7d7,439,109,91,407,endgame master mate mateIn1 oneMove operaMate,https://lichess.org/hKcDSgBZ/black#70,,True,https://lichess.org/training/KTXMG
X7pMz,5rkr/1pp4p/p1b3N1/4Pp2/3p4/6Q1/q4PPP/3R1RK1 b - - 0 29,h7g6 g3g6,439,90,92,141,mate mateIn1 middlegame oneMove,https://lichess.org/frzbzkna/black#58,,True,https://lichess.org/training/X7pMz
GssaD,r4rkB/pp2b3/4q2p/3p1pp1/3Qp1n1/4P1P1/PPP2PBP/R4RK1 b - - 3 18,g8h7 d4g7,441,105,98,609,mate mateIn1 middlegame oneMove,https://lichess.org/vUVli8sj/black#36,Queens_Pawn_Game Queens_Pawn_Game_Other_variations,True,https://lichess.org/training/GssaD
CLBNK,R3R3/5pkp/p5p1/1p4P1/5P2/r7/3r3P/4K3 b - - 2 40,d2h2 e8g8,441,102,89,135,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/CSOrtt6D/black#80,,True,https://lichess.org/training/CLBNK
GYTf1,4rknr/pp2qp1p/1np1B1p1/3pP1N1/3P4/5QP1/P1P2P1P/R4RK1 b - - 0 18,e7g5 f3f7,442,89,100,433,mate mateIn1 middlegame oneMove,https://lichess.org/30sx7iUW/black#36,Zukertort_Opening Zukertort_Opening_Slav_Invitation,True,https://lichess.org/training/GYTf1
QalfK,8/5R2/1p4rp/2p3k1/P1P3P1/1P2rBK1/6P1/8 b - - 8 47,e3b3 f7f5,442,93,87,193,endgame master mate mateIn1 oneMove,https://lichess.org/tRgLVs0h/black#94,,True,https://lichess.org/training/QalfK
8Bn6O,r1bq3r/3nppk1/2p3pP/p2p4/1p1PnQP1/8/PPP1N3/1K1R1BNR b - - 0 17,g7h7 f4f7,443,110,92,453,mate mateIn1 middlegame oneMove,https://lichess.org/wIfSnaC4/black#34,Pirc_Defense Pirc_Defense_Other_variations,True,https://lichess.org/training/8Bn6O
8pJC0,8/p2r1RR1/2pkp1P1/2p5/4KP2/1Pr5/8/8 b - - 0 46,c3b3 f7d7,443,93,78,570,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/d7q8ns0H/black#92,,True,https://lichess.org/training/8pJC0
w2uPN,4R3/8/8/4krp1/3p3p/5P2/5K2/8 b - - 3 64,e5f4 e8e4,444,98,100,149,endgame master masterVsMaster mate mateIn1 oneMove rookEndgame,https://lichess.org/aAT1CVyp/black#128,,True,https://lichess.org/training/w2uPN
jgadc,6rk/4b3/1p4q1/pPp1p1rp/P1PpPp1p/3P1P1P/6PK/R2QBnRN w - - 6 32,g1f1 g5g2,445,98,87,169,master mate mateIn1 middlegame oneMove,https://lichess.org/ycMM8rG7#63,,True,https://lichess.org/training/jgadc
tBYVF,rk5r/1pp5/p1nqpn2/2Np1bp1/3P4/1QP1PBP1/PP3P1P/R4RK1 b - - 4 18,b8a7 b3b7,445,100,92,251,mate mateIn1 middlegame oneMove,https://lichess.org/McUgwfeb/black#36,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System,True,https://lichess.org/training/tBYVF
uVSEc,6QQ/2p5/5pkp/1P6/6P1/1q4N1/6PK/4r3 b - - 1 39,b3g8 h8g8,446,109,89,1543,endgame mate mateIn1 oneMove,https://lichess.org/wFE6sdNu/black#78,,True,https://lichess.org/training/uVSEc
UB2hv,2r1kb1r/2q2ppp/1n2p3/p2p1PP1/1p5P/1n2P3/PPPB4/1NKR1QNR w k - 1 18,a2b3 c7c2,446,105,95,214,mate mateIn1 oneMove opening queensideAttack,https://lichess.org/a7C7aqzU#35,Queens_Pawn_Game Queens_Pawn_Game_Other_variations,True,https://lichess.org/training/UB2hv
1KPP8,7r/4Nr1k/7p/pP6/P1q1Q3/2P1P2P/6P1/5RK1 b - - 2 31,c4e4 f1f7,447,113,82,627,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/vfX2o7jo/black#62,,True,https://lichess.org/training/1KPP8
IWocd,4r2n/1ppbbqRk/p2p1r1p/3Pp2P/2P1Pp1N/2NB4/PP3PQ1/2K3R1 b - - 16 29,f7g7 g2g7,448,96,100,121,master mate mateIn1 middlegame oneMove,https://lichess.org/hqGIW3h5/black#58,,True,https://lichess.org/training/IWocd
Zku8F,5k2/R7/3p2R1/4p1p1/4P3/5PKP/2rr2P1/8 w - - 3 52,g6h6 d2g2,449,109,88,652,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/V3dgyyEq#103,,True,https://lichess.org/training/Zku8F
Y50rG,2n5/1p3ppp/p3p3/1n1k4/2RP4/3K4/5PPP/8 b - - 7 33,c8d6 c4c5,449,104,96,432,endgame mate mateIn1 oneMove,https://lichess.org/NfdTtKLy/black#66,,True,https://lichess.org/training/Y50rG
g0HrA,4qrkn/p1r3p1/1p2p3/1b1pPpR1/3P1P2/P3KN1P/1P6/1B3NR1 b - - 8 28,c7c1 g5g7,449,97,66,126,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/o91rzNVO/black#56,,True,https://lichess.org/training/g0HrA
4l5GV,5k2/8/8/5N1p/2B3p1/P4RP1/5PKP/1r2r3 w - - 0 44,f3f4 e1g1,450,99,91,593,endgame mate mateIn1 oneMove,https://lichess.org/hCgRpv01#87,,True,https://lichess.org/training/4l5GV
X64jR,3r2nr/p4pp1/4p1kp/4Q3/3P3P/bP2P1R1/5PP1/4K3 b - - 1 26,g6h7 e5g7,451,95,85,364,endgame mate mateIn1 oneMove,https://lichess.org/pNfxWUIu/black#52,,True,https://lichess.org/training/X64jR
YKp7C,8/7R/5bBk/1p3P2/p4rp1/P5K1/1P6/8 b - - 1 57,h6g5 h7h5,452,87,57,132,endgame master mate mateIn1 oneMove operaMate,https://lichess.org/fyvO0m2H/black#114,,True,https://lichess.org/training/YKp7C
8w9lF,rn2r1k1/p1q1ppb1/6p1/3p1bNp/1p1P3P/4BP2/PPPQ2P1/1NKRR3 w - - 0 16,d2b4 c7c2,452,92,75,112,master mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/u8Ct36tI#31,Pirc_Defense Pirc_Defense_Classical_Variation,True,https://lichess.org/training/8w9lF
TENoT,R7/5pBk/4pPp1/8/4n1P1/3r4/6K1/8 b - - 6 52,g6g5 a8h8 h7g6 h8h6,453,97,100,256,endgame mate mateIn2 operaMate short,https://lichess.org/K8TSvy3a/black#104,,True,https://lichess.org/training/TENoT
zs0uy,3q4/R2Q3R/1rpkr3/3p2p1/3P4/1P2p3/P4PK1/8 b - - 1 49,d8d7 a7d7,454,94,100,108,endgame mate mateIn1 oneMove,https://lichess.org/e1Goke4U/black#98,,True,https://lichess.org/training/zs0uy
uIlzT,8/1b6/p2pBk1p/1p1P4/1Pp1r3/2P3K1/5R2/8 b - - 3 60,f6e5 f2f5,455,89,79,177,endgame master mate mateIn1 oneMove operaMate,https://lichess.org/0FZ01M5R/black#120,,True,https://lichess.org/training/uIlzT
PgRFz,3R4/p3r2p/1pp3p1/2pkP1N1/5K2/3P3P/PPn5/8 b - - 3 30,e7d7 d8d7,455,107,92,725,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/7dCb4KOd/black#60,,True,https://lichess.org/training/PgRFz
IcTdr,8/3b4/4p3/1p1p1nk1/p2P4/2P2P2/PP3KR1/8 b - - 9 48,g5f4 g2g4,455,96,100,147,endgame mate mateIn1 oneMove,https://lichess.org/1fCgcymH/black#96,,True,https://lichess.org/training/IcTdr
97slY,2r2rk1/1bq2p1p/p3p1P1/3pP1P1/1p1Q1P2/1n6/PPP1B3/1NKR3R w - - 1 22,a2b3 c7c2,456,103,83,659,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/LAH9YWrL#43,,True,https://lichess.org/training/97slY
1npgy,1r4k1/p4rpp/4Q1p1/2p5/3qN1P1/PK1P3P/1PP2b2/R4R2 w - - 8 28,b3a2 d4b2,456,100,94,195,mate mateIn1 middlegame oneMove,https://lichess.org/YFqpxMHm#55,,True,https://lichess.org/training/1npgy
Bx71p,8/p4pkp/8/3R1N2/5Kp1/P4n2/1P3P2/6r1 b - - 7 28,g7f6 d5d6,457,94,100,365,endgame master mate mateIn1 oneMove,https://lichess.org/n4MenKNv/black#56,,True,https://lichess.org/training/Bx71p
wNBH6,8/p4pk1/R6R/1P4p1/P7/5PKP/1r2r1P1/8 w - - 1 46,h6c6 e2g2,457,109,88,484,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/djhm8QJt#91,,True,https://lichess.org/training/wNBH6
0zFyV,7r/p5RP/1p6/3p1NK1/3k4/8/5n2/8 b - - 2 58,d4e5 g7e7,457,100,79,278,endgame mate mateIn1 oneMove,https://lichess.org/RCv4A5Vr/black#116,,True,https://lichess.org/training/0zFyV
kXGJ7,8/4rp2/1b2k1p1/pP1pPp1p/P1R2P1P/6P1/4K3/3R4 b - - 0 38,d5c4 d1d6,458,90,95,203,endgame mate mateIn1 oneMove,https://lichess.org/1MqFSNnF/black#76,,True,https://lichess.org/training/kXGJ7
owN8A,1R6/8/3r4/4k3/1p3nP1/1N5P/5PK1/8 w - - 3 45,g2f3 d6d3,458,102,88,485,endgame master mate mateIn1 oneMove,https://lichess.org/PyxUFxyJ#89,,True,https://lichess.org/training/owN8A
IciBD,7R/p5p1/2p5/4N1k1/2pP4/2Pb1P2/Pr3K2/8 w - - 0 35,f2e3 b2e2,458,89,63,76,endgame master masterVsMaster mate mateIn1 oneMove operaMate,https://lichess.org/CcNrgLbP#69,,True,https://lichess.org/training/IciBD
ZVaDw,5R2/pp1r3R/4rkp1/1Npp4/2n2P2/P7/1PP3P1/2K5 b - - 5 28,d7f7 h7f7,459,102,77,272,endgame master mate mateIn1 oneMove,https://lichess.org/It2EPW70/black#56,,True,https://lichess.org/training/ZVaDw
v4Fm6,rnb4r/ppq2R1k/2p1p2p/4P2Q/3P4/2P5/P1P3PP/R5K1 b - - 0 16,c7f7 h5f7,459,91,100,220,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/8TGl0vre/black#32,Horwitz_Defense Horwitz_Defense_Other_variations,True,https://lichess.org/training/v4Fm6
M0LCF,6k1/p7/1p6/2pPP3/3p3P/P1Q2r1K/5q1P/8 w - - 3 42,c3f3 f2f3,459,108,79,149,endgame hangingPiece mate mateIn1 oneMove queenEndgame,https://lichess.org/xhTfT34a#83,,True,https://lichess.org/training/M0LCF
qhMBc,5r2/p6p/1p2k3/2p1p3/8/P2PRK1P/1PP5/8 w - - 4 39,f3e4 f8f4,460,101,71,136,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/BLxA44tO#77,,True,https://lichess.org/training/qhMBc
NcpC2,8/2R5/2nBkp2/p1Pp1r2/1p6/8/1K5P/8 b - - 2 48,c6d4 c7e7,460,98,99,1030,endgame master mate mateIn1 oneMove operaMate,https://lichess.org/GFvLfXK2/black#96,,True,https://lichess.org/training/NcpC2
UYKhb,2r2rk1/2qb1ppp/p3p3/1p1pP3/3Q1P2/1n3R2/PPP1B1PP/1NKR4 w - - 6 18,f3b3 c7c2,460,105,88,720,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/1NPfI0y1#35,,True,https://lichess.org/training/UYKhb
d73Wp,8/1p2nnpk/3p3p/pP2p3/2P1P1R1/P2KPr2/8/6R1 b - - 3 35,f7h8 g4g7,461,104,95,519,endgame mate mateIn1 oneMove,https://lichess.org/ATb0TjmT/black#70,,True,https://lichess.org/training/d73Wp
X245c,4r3/8/p1pp3p/1p2k1p1/4P1P1/P3K2P/8/5R2 b - - 3 34,e8e6 f1f5,461,105,82,231,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/o1HTMOFw/black#68,,True,https://lichess.org/training/X245c
0jbTH,8/4R3/8/5p2/2b4p/5PkP/3b2P1/6K1 b - - 5 46,f5f4 e7g7,461,108,85,436,endgame master mate mateIn1 oneMove,https://lichess.org/uCkkP7Ie/black#92,,True,https://lichess.org/training/0jbTH
B9GF1,r6r/1pq2R1k/p6p/3pP2P/2nP1Q2/2P5/P5P1/5RK1 b - - 0 26,c7f7 f4f7,462,106,81,728,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/P7vYIxIE/black#52,,True,https://lichess.org/training/B9GF1
4QgO7,4r3/8/R2pk2R/1pp1p3/3n4/P2P4/1Pr5/1K6 b - - 1 32,e6d5 a6d6,462,108,96,251,endgame mate mateIn1 oneMove,https://lichess.org/gBd8E2kR/black#64,,True,https://lichess.org/training/4QgO7
X8KdV,2r2rk1/5pp1/p2pp2p/8/Pp2b2Q/8/1PqR1PPP/1NKR4 w - - 0 23,d2c2 c8c2,462,100,96,1271,mate mateIn1 middlegame oneMove operaMate queensideAttack,https://lichess.org/lvDEhzXk#45,,True,https://lichess.org/training/X8KdV
